-1610611806,-1,-1,-1,-1,-1,-1,-1,-1,-1,1610613666,962,962,962,962,962,962,962,962,962,962,962,962,962,-1073740894,-1,-1,-1,-1,-1,962,962,962,962,962,962,962,962,962,962,962,962,962,-1073740894,-1,-1,-1,-1,-1,-1
-1610611806,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1610613666,962,962,962,962,962,962,962,962,962,962,-1073740894,-1073740894,-1,-1,-1,-1,-1,-1,962,962,-1073740894,-1073740894,962,962,962,962,962,962,962,962,-1073740894,-1,-1,-1,-1,-1,-1,-1
-1610611806,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1073740894,-1073740894,-1073740894,962,962,-1073740894,-1073740894,-1073740894,-1073740894,-1073740894,-1,-1,-1,-1,-1,-1,-1,-1,962,962,-1,-1,-1073740894,-1073740894,-1073740894,962,962,962,-1073740894,-1073740894,-1,-1,-1,-1,-1,-1,-1,-1
-1610611806,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1073740894,-1073740894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1073740894,-1073740894,-1,-1,-1,-1,-1,-1073740894,-1073740894,-1073740894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1610611806,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,930,930,930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
962,930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,930,930,962,962,962,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
962,962,930,930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,962,962,962,962,962,-1,-1,930,930,930,-1,-1,930,930,930,930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
962,962,962,962,930,930,930,-1,-1,-1,-1,-1,-1,-1,-1,-1,930,930,930,930,-1,-1,962,962,962,962,962,-1,-1,962,962,962,930,930,962,962,962,962,930,930,930,-1,-1,449,449,449,930,930,930,930
962,962,962,962,962,962,962,930,930,930,930,930,-1,-1,930,930,962,962,962,962,-1,-1,962,962,962,962,962,-1,-1,962,962,962,962,962,962,962,962,962,962,962,962,-1,-1,-1,-1,-1,962,962,962,962
962,962,962,962,962,962,962,962,962,962,962,962,-1,-1,962,962,962,962,962,962,-1,-1,962,962,962,962,962,-1,-1,962,962,962,962,962,962,962,962,962,962,962,962,-1,-1,-1,-1,-1,962,962,962,962
962,962,962,962,962,962,962,962,962,962,962,962,-1,-1,962,962,962,962,962,962,-1,-1,962,962,962,962,962,-1,-1,962,962,962,962,962,962,962,962,962,962,962,962,-1,-1,-1,-1,-1,962,962,962,962
962,962,962,962,962,962,962,962,962,962,962,962,-1,-1,962,962,962,962,962,962,-1,-1,962,962,962,962,962,-1,-1,962,962,962,962,962,962,962,962,962,962,962,962,-1,-1,-1,-1,-1,962,962,962,962
